ACT_Code,n,Crop,Fodder,Fibre,Livestock,Wild food,Aquaculture,Water,Regulating,Recreation,title
D04.01,0,,,,,,,,,,airport
D04.02,0,,,,,,,,,,"aerodrome, heliport"
D04.03,0,,,,,,,,,,flight paths
D05,0,,,,,,,,,,Improved access to site
D06,0,,,,,,,,,,Other forms of transportation and communication
E,0,,,,,,,,,,"Urbanisation, residential and commercial development"
E01,0,,,,,,,,,,"Urbanised areas, human habitation"
E01.01,0,,,,,,,,,,continuous urbanisation
E01.02,0,,,,,,,,,,discontinuous urbanisation
E01.03,0,,,,,,,,,,dispersed habitation
E01.04,0,,,,,,,,,,other patterns of habitation
E02,0,,,,,,,,,,Industrial or commercial areas
E02.01,0,,,,,,,,,,factory
E02.02,0,,,,,,,,,,industrial stockage
E02.03,0,,,,,,,,,,other industrial / commercial area
E03,0,,,,,,,,,,Discharges
E03.01,0,,,,,,,,,,disposal of household / recreational facility waste
E03.02,0,,,,,,,,,,disposal of industrial waste
E03.03,0,,,,,,,,,,disposal of inert materials
E03.04,0,,,,,,,,,,Other discharges
E03.04.01,0,,,,,,,,,,costal sand suppletion/ beach nourishment
E04,0,,,,,,,,,,"Structures, buildings in the landscape"
E04.01,3,x,x,,x,,,,,,"Agricultural structures, buildings in the landscape"
E04.02,0,,,,,,,,,,Military constructions and buildings in the landscape
E05,0,,,,,,,,,,Storage of materials
E06,0,,,,,,,,,,"Other urbanisation, industrial and similar activities"
E06.01,0,,,,,,,,,,demolishment of buildings & human structures
E06.02,0,,,,,,,,,,"reconstruction, renovation of buildings"
F,0,,,,,,,,,,Biological resource use other than agriculture & forestry
F01,1,,,,,,x,,,,Marine and Freshwater Aquaculture
F01.01,1,,,,,,x,,,,"intensive fish farming, intensification"
F01.02,1,,,,,,x,,,,suspension culture
F01.03,1,,,,,,x,,,,bottom culture
F02,2,,,,,x,,,,x,Fishing and harvesting aquatic ressources
F02.01,1,,,,,x,,,,,Professional passive fishing
F02.01.01,1,,,,,x,,,,,potting
F02.01.02,1,,,,,x,,,,,netting
F02.01.03,1,,,,,x,,,,,demersal longlining
F02.01.04,1,,,,,x,,,,,pelagic longlining
F02.02,1,,,,,x,,,,,Professional active fishing
F02.02.01,1,,,,,x,,,,,benthic or demersal trawling
F02.02.02,1,,,,,x,,,,,pelagic trawling
F02.02.03,1,,,,,x,,,,,demersal seining
F02.02.04,1,,,,,x,,,,,purse seining
F02.02.05,1,,,,,x,,,,,benthic dredging
F02.03,2,,,,,x,,,,x,Leisure fishing
F02.03.01,2,,,,,x,,,,x,bait digging / collection
F02.03.02,2,,,,,x,,,,x,pole fishing
F02.03.03,2,,,,,x,,,,x,spear-fishing
F03,2,,,,,x,,,,x,Hunting and collection of wild animals (terrestrial)
